country,year,ntl_sum,ntl_lit,sensor
AUT,2017,777778.0,29125,VIIRSsim
ITA,2017,9455024.0,372780,VIIRSsim
NLD,2017,1479985.0,43753,VIIRSsim
HRV,2017,722647.0,33597,VIIRSsim
SVN,2017,214692.0,8479,VIIRSsim
BGR,2017,875138.0,60544,VIIRSsim
PRT,2017,1992129.0,91335,VIIRSsim
MDA,2017,78920.0,2552,VIIRSsim
MLT,2017,23145.0,467,VIIRSsim
CYP,2018,120625.0,5328,VIIRSsim
FRA,2018,7013730.0,277206,VIIRSsim
UKR,2018,2552768.0,86552,VIIRSsim
BLR,2018,903676.0,28800,VIIRSsim
LTU,2018,399214.0,12226,VIIRSsim
CZE,2018,1459484.0,53396,VIIRSsim
DEU,2018,5736247.0,205589,VIIRSsim
EST,2018,512476.0,16001,VIIRSsim
LVA,2018,356349.0,11240,VIIRSsim
SWE,2018,4656953.0,144642,VIIRSsim
FIN,2018,4276425.0,124301,VIIRSsim
LUX,2018,107177.0,4243,VIIRSsim
BEL,2018,1546461.0,45640,VIIRSsim
GEO,2018,286477.0,16548,VIIRSsim
AZE,2018,481452.0,30033,VIIRSsim
ESP,2018,6102584.0,286144,VIIRSsim
ARM,2018,76092.0,4533,VIIRSsim
DNK,2018,563581.0,18167,VIIRSsim
ROU,2018,1702161.0,82160,VIIRSsim
HUN,2018,807858.0,28103,VIIRSsim
SVK,2018,489394.0,17923,VIIRSsim
POL,2018,5614504.0,189614,VIIRSsim
IRL,2018,659308.0,18509,VIIRSsim
GRC,2018,1422775.0,75017,VIIRSsim
AUT,2018,768414.0,29728,VIIRSsim
ITA,2018,9133889.0,352864,VIIRSsim
NLD,2018,1501055.0,44478,VIIRSsim
HRV,2018,690186.0,31365,VIIRSsim
SVN,2018,229703.0,9265,VIIRSsim
BGR,2018,686539.0,42284,VIIRSsim
PRT,2018,1852770.0,84021,VIIRSsim
MDA,2018,119433.0,4069,VIIRSsim
MLT,2018,22937.0,467,VIIRSsim
CYP,2019,125585.0,5323,VIIRSsim
FRA,2019,7302242.0,286929,VIIRSsim
UKR,2019,2129533.0,69778,VIIRSsim
BLR,2019,694958.0,21850,VIIRSsim
LTU,2019,389381.0,11676,VIIRSsim
CZE,2019,1479720.0,53028,VIIRSsim
DEU,2019,5860320.0,203600,VIIRSsim
EST,2019,478901.0,13770,VIIRSsim
LVA,2019,386756.0,11209,VIIRSsim
SWE,2019,4122994.0,125903,VIIRSsim
FIN,2019,4079876.0,119603,VIIRSsim
LUX,2019,97689.0,3506,VIIRSsim
