ind,country,year,value
IT.NET.BBND.P2,NLD,2015,41.0879703576802
IT.NET.BBND.P2,NLD,2014,40.2287973950107
IT.NET.BBND.P2,NLD,2013,40.030499091092
IT.NET.BBND.P2,NLD,2012,39.3374146344405
IT.NET.BBND.P2,NLD,2011,38.5614208058284
IT.NET.BBND.P2,NLD,2010,37.7372328275169
IT.NET.BBND.P2,NLD,2009,36.7354644977419
IT.NET.BBND.P2,NLD,2008,34.9756568223498
IT.NET.BBND.P2,POL,2025,
IT.NET.BBND.P2,POL,2024,25.3612522999634
IT.NET.BBND.P2,POL,2023,24.526154479274
IT.NET.BBND.P2,POL,2022,23.8373449056172
IT.NET.BBND.P2,POL,2021,22.8165643900514
IT.NET.BBND.P2,POL,2020,21.9255858346119
IT.NET.BBND.P2,POL,2019,20.5043205670712
IT.NET.BBND.P2,POL,2018,20.5313862679212
IT.NET.BBND.P2,POL,2017,19.9531726069815
IT.NET.BBND.P2,POL,2016,19.1513139299534
IT.NET.BBND.P2,POL,2015,18.9867934497166
IT.NET.BBND.P2,POL,2014,18.904567196757
IT.NET.BBND.P2,POL,2013,18.3773931656078
IT.NET.BBND.P2,POL,2012,18.0079998184474
IT.NET.BBND.P2,POL,2011,18.2475205937044
IT.NET.BBND.P2,POL,2010,15.378511671936
IT.NET.BBND.P2,POL,2009,14.7254806997129
IT.NET.BBND.P2,POL,2008,11.7451771509464
IT.NET.BBND.P2,PRT,2025,
IT.NET.BBND.P2,PRT,2024,45.2439221846256
IT.NET.BBND.P2,PRT,2023,44.1107426914567
IT.NET.BBND.P2,PRT,2022,42.937003513367
IT.NET.BBND.P2,PRT,2021,41.5145728650954
IT.NET.BBND.P2,PRT,2020,40.1215406866329
IT.NET.BBND.P2,PRT,2019,38.3605751907072
IT.NET.BBND.P2,PRT,2018,36.6542819407724
IT.NET.BBND.P2,PRT,2017,34.6016066063915
IT.NET.BBND.P2,PRT,2016,32.6259001706105
IT.NET.BBND.P2,PRT,2015,30.2999720257926
IT.NET.BBND.P2,PRT,2014,27.4622463014594
IT.NET.BBND.P2,PRT,2013,24.5102597000009
IT.NET.BBND.P2,PRT,2012,22.7408340982484
IT.NET.BBND.P2,PRT,2011,21.2468026111835
IT.NET.BBND.P2,PRT,2010,20.1035764454099
IT.NET.BBND.P2,PRT,2009,18.0765765463372
IT.NET.BBND.P2,PRT,2008,15.4810153386745
IT.NET.BBND.P2,ROU,2025,
IT.NET.BBND.P2,ROU,2024,35.7995871488999
IT.NET.BBND.P2,ROU,2023,34.6706189336505
IT.NET.BBND.P2,ROU,2022,33.2115600895132
IT.NET.BBND.P2,ROU,2021,31.6949603653045
