country,year,mobile_broad_price_i271mb_ts_GNI,series_code,series_name,series_units,variable
FRA,2013,0.47,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
FRA,2014,0.37,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
FRA,2015,0.31,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
FRA,2016,0.325745,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
FRA,2017,0.355785,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
FRA,2018,0.34,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
FRA,2019,0.34,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
FRA,2020,0.49,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
FRA,2021,0.657935,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
FRA,2022,0.159544,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
FRA,2023,0.15,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
FIN,2013,0.32,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
FIN,2014,0.49,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
FIN,2015,0.41,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
FIN,2016,0.624373,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
FIN,2017,0.624264,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
FIN,2018,0.88,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
FIN,2019,0.88,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
FIN,2020,0.77,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
FIN,2021,0.356969,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
FIN,2022,0.335841,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
FIN,2023,0.12,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
GRC,2013,1.05,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
GRC,2014,1.41,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
GRC,2015,0.88,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
GRC,2016,0.983624,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
GRC,2017,0.964305,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
GRC,2018,1.1,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
GRC,2019,0.92,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
GRC,2020,0.47,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
GRC,2021,0.661134,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
GRC,2022,0.592756,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
GRC,2023,0.52,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HUN,2013,0.8,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HUN,2014,0.77,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HUN,2015,1.05,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HUN,2016,0.884056,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HUN,2017,1.52346,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HUN,2018,1.03,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HUN,2019,1.21,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HUN,2020,0.34,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HUN,2021,0.844055,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HUN,2022,0.584985,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HUN,2023,0.56,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
NLD,2013,0.61,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
NLD,2014,0.61,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
NLD,2015,0.29,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
NLD,2016,0.543473,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
NLD,2017,0.732064,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
NLD,2018,0.83,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
NLD,2019,0.83,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
NLD,2020,0.64,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
NLD,2021,0.50581,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
NLD,2022,0.467404,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
NLD,2023,0.41,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HRV,2013,1.09,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HRV,2014,1.21,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HRV,2015,1.06,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HRV,2016,1.09161,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HRV,2017,1.1514,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HRV,2018,1.37,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HRV,2019,1.37,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HRV,2020,1.6,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HRV,2021,0.705372,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HRV,2022,0.432523,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
HRV,2023,0.36,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ITA,2013,0.37,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ITA,2014,0.31,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ITA,2015,0.39,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ITA,2016,0.404336,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ITA,2017,0.435935,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ITA,2018,0.25,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ITA,2019,0.25,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ITA,2020,0.4,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ITA,2021,0.42785,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ITA,2022,0.394092,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ITA,2023,0.37,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
IRL,2013,0.29,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
IRL,2014,0.27,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
IRL,2015,0.37,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
IRL,2016,0.328132,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
IRL,2017,0.53807,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
IRL,2018,0.53,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
IRL,2019,0.84,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
IRL,2020,0.78,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
IRL,2021,0.432132,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
IRL,2022,0.383595,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
IRL,2023,0.34,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LTU,2013,0.37,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LTU,2014,0.36,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LTU,2015,0.35,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LTU,2016,0.352104,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LTU,2017,0.702824,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LTU,2018,0.65,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LTU,2019,0.81,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LTU,2020,0.71,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LTU,2021,0.247168,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LTU,2022,0.218639,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LTU,2023,0.2,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LUX,2013,0.43,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LUX,2014,0.21,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LUX,2015,0.18,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LUX,2016,0.085663,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LUX,2017,0.192466,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LUX,2018,0.18,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LUX,2019,0.18,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LUX,2020,0.18,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
