country,year,fixed_broadband_subs_i4213tfbb,fixed_broadband_subs_i992b,fixed_broad_price_i154_FBB_ts$,fixed_broad_price_i154_FBB_ts_GNI,fixed_broad_price_i154_FBB_ts_PPP,internet_users_pct_i99H,int_bandwidth_i4214,int_bandwidth_i994,int_bandwidth_i994B,int_bandwidth_i994u,mobile_broad_price_i271mb_ts$,mobile_broad_price_i271mb_ts_GNI,mobile_broad_price_i271mb_ts_PPP,mobile_subs_i271,mobile_subs_i911,access_to_electricity,education_secondary_pct,education_tertiary_pct,electric_power_consumption,gdp_growth,gdp_per_capita,gdp_per_capita_constant,high_tech_exports,ict_goods_exports,inflation_gdp_deflator,labor_force_advanced_education,population,population_ages_15_64,population_density,regulatory_quality_estimate,research_development_expenditure,secure_internet_servers,urban_population_pct,wage_salaried_workers,region
BEL,2019,4590710.0,39.9518,32.48,0.86,32.08,90.2754,,,,,17.71,0.47,17.5,11509600.0,100.165,100.0,71.4499969482422,79.3044815063477,7673.26603406047,2.4428900448156,46716.6227467964,43006.4042308863,33085086466.0,2.17,1.85424076568934,75.138,11488980.0,64.0794211416653,376.761985964452,1.27653729915619,3.1566,19655.5307781892,98.041,85.2160473803891,EU
BEL,2020,4734210.0,41.024,31.19,0.8,32.89,91.5264,,,,,17.01,0.44,17.94,11529700.0,99.9101,100.0,72.139644732898,79.4996032714844,7420.56838071573,-4.7929839083518,45906.2875805246,40769.0218072962,34318944448.0,2.32,1.59611667576401,75.472,11538604.0,63.9755896544114,378.38932248967,1.34363579750061,3.39175,24215.3210215031,98.079,84.5432561567512,EU
BEL,2021,4977990.0,43.0218,33.1607,0.837785,32.5965,92.7887,,,,,18.0877,0.456974,17.7799,11740100.0,101.463,100.0,73.6399120754637,82.6882019042969,7681.46919674665,6.20759981274431,51658.238294958,43121.9429709785,60841701079.0,1.85,2.74262712757394,75.313,11586195.0,63.8651840723626,379.949990161999,1.33185970783234,3.39239,28369.365438783,98.117,85.084424886805,EU
BEL,2022,5071840.0,43.5657,26.6163,0.679346,30.4968,94.0078,,,,,15.9698,0.407607,18.2981,11837400.0,101.68,100.0,73.6852679280953,83.5736465454102,7282.74577255032,4.2593607365269,50822.2518538518,44596.7859981166,68608511632.0,1.64,6.84397581715184,75.994,11680210.0,63.7031280332457,383.033055683085,1.25295519828796,3.40544,30850.8151822613,98.153,84.1441330267013,EU
BEL,2023,5118840.0,43.7026,27.22,0.69,30.52,94.6263,,,,,16.33,0.41,18.31,12087300.0,103.196,100.0,74.4232374318134,82.1475601196289,6927.29869794271,1.201691781997,54690.0942734964,44722.1955283977,50647716012.0,,4.5081215034371,75.902,11787423.0,63.5639803078539,386.5489276579,1.16822481155396,,33643.2314340463,98.189,84.9758349217136,EU
BGR,2010,1124720.0,15.1221,13.45,2.43,25.2,46.23,232600.0,31273.5,213731.0,67647.7,,,,10199900.0,137.14,93.5,69.6100006103516,58.354850769043,4560.41491703377,1.55535963462032,6853.94805511171,6428.71747401797,852976590.0,2.47,0.764129878916592,74.516,7395599.0,68.3958807402685,68.1245302137067,0.680432558059692,0.56299,62.3343693999634,72.302,87.2382953410502,EU
BGR,2011,1256800.0,17.0297,13.45,2.35,25.33,47.98,252800.0,34254.6,206423.0,71393.6,,,,10475100.0,141.938,94.1,70.6500015258789,59.8246803283691,4863.69144110061,2.09017527015538,7849.58061302818,6605.30857880385,1062699686.0,2.13,6.11283035981589,73.073,7348328.0,67.9655488971921,67.6890935887988,0.552520036697388,0.5295,101.383607264129,72.638,87.956164773844,EU
BGR,2012,1331750.0,18.2007,9.72,1.65,18.79,51.9,342855.0,46857.2,262472.0,90283.7,,,,10780700.0,147.338,94.7,72.4800033569336,62.1616516113281,4757.12192686228,0.748814896796574,7431.95789508871,6693.42776100824,1021476044.0,1.96,1.11217885256747,73.387,7305888.0,67.4917027281691,67.2981577008106,0.574710845947266,0.60039,251.714781283261,72.975,88.4122896117581,EU
BGR,2013,1421550.0,19.5682,11.3976,1.82361,21.62,53.0615,413370.0,56902.0,295988.0,107238.0,6.72,1.07,12.74,10486800.0,144.355,95.3,73.9400024414062,68.2013397216797,4712.147547383,-0.542751603030155,7795.98092108928,6792.73551393835,1175494257.0,2.35,0.0719518095394278,73.276,7160005.0,66.9753508090845,65.9543570375829,0.549109816551208,0.63424,327.23440835586,73.313,88.2669878532914,EU
BGR,2014,1480890.0,20.5011,11.4,1.79467,21.91,55.4904,537415.0,74398.7,362900.0,134075.0,6.72,1.06,12.91,9486930.0,131.335,95.9,73.8099975585938,72.981559753418,4809.73403536431,0.949448985090484,8069.60005667684,6941.01854679167,1156706424.0,2.52,1.34078287386647,73.922,7073572.0,66.4196171095264,65.1581798084009,0.585273623466492,0.79007,648.752850752067,73.651,87.2523049216461,EU
