country,year,gdp_per_capita,gdp_per_capita_constant,gdp_growth,inflation_gdp_deflator,population,population_density,urban_population_pct,population_ages_15_64,education_tertiary_pct,education_secondary_pct,labor_force_advanced_education,secure_internet_servers,electric_power_consumption,access_to_electricity,regulatory_quality_estimate,high_tech_exports,ict_goods_exports,research_development_expenditure,wage_salaried_workers
HUN,2021,19030.628130329,15787.9535427563,7.22291580811137,6.16694892296121,9630932.0,105.532895025203,72.245,65.0297164165967,56.5250091552734,81.5076989037062,76.844,42102.778838019,4757.79498806554,100.0,0.485284149646759,19838941890.0,12.29,1.64379,87.4920796730778
HUN,2022,18483.6366867035,16506.4721041768,4.27034755162904,14.1824695674628,9605074.0,105.249550734166,72.552,64.8418515917326,58.0702514648438,82.7163076433239,77.729,51406.6835924429,4702.93097169267,100.0,0.406537681818008,22854435493.0,10.33,1.39473,87.3254851059004
HUN,2023,22312.1790289763,16389.3914509189,-0.842528840639091,15.2103167237835,9592186.0,105.108327854482,72.864,64.695458770892,56.5924415588379,83.8787312589267,77.757,53717.7865400025,4604.58127063007,100.0,0.318309366703033,24367700793.0,,,87.7055647577195
IRL,2010,48679.4026820361,47040.3543944159,1.68297227062031,-2.85830310917899,4560155.0,66.1947307301495,61.542,67.5334058625863,63.1264381408691,66.5899963378906,82.823,959.397213471911,5870.85307407314,100.0,1.61843299865723,23325036070.0,6.89,1.59477,82.7915514339941
IRL,2011,52692.7813135606,47607.8853496781,1.64877400406158,1.86453750802245,4580084.0,66.4840179997097,61.742,66.9266273655847,67.7985916137695,66.370002746582,82.266,1508.05094404382,5610.81412480644,100.0,1.59480214118958,27791424343.0,5.65,1.55153,83.1865667965628
IRL,2012,49411.7387476787,47217.44319652,-0.398960481731095,2.43515150873688,4599533.0,66.7663376397155,61.942,66.4288763887645,68.1972503662109,67.7619437749107,81.208,2466.77217013119,5616.2223425726,100.0,1.56388533115387,26188451630.0,5.54,1.56028,83.1714408466761
IRL,2013,52619.2123745817,47999.1238187925,2.19217619489058,1.33941349781583,4623816.0,67.1188271156917,62.141,66.0510609746196,71.6995468139648,69.4219421933157,81.398,2641.75737096805,5670.64087325274,100.0,1.57406163215637,25028070785.0,5.69,1.56908,82.9808646079584
IRL,2014,57278.2590911107,52098.1049907962,9.33603375045837,0.260925697359397,4657740.0,67.6112643344462,62.34,65.7693782746418,73.813232421875,73.1518320316997,80.534,2807.79949074014,5644.58299518651,100.0,1.75873184204102,25849514946.0,5.56,1.51798,83.1954414282614
IRL,2015,64311.8234684057,64311.8234684057,24.6155698980205,8.90845066754397,4701957.0,68.2531136594571,62.538,65.5717708523171,77.2321472167969,73.4491260847135,80.933,3194.41458099255,5761.00547070082,100.0,1.80811500549316,30612422468.0,6.0,1.17974,83.5345544671286
IRL,2016,64192.9418053178,64267.5727331783,1.2226384923421,0.119373802131435,4762722.0,69.1351720133546,62.737,65.4546867857241,77.5571365356445,73.6150838402534,80.82,11725.2277164193,5830.06944348211,100.0,1.72934794425964,37992126178.0,8.92,1.17716,83.7698524310439
